COD_UF;COD_MUNICIPIO;COD_DISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_LOCALIDADE;CEP
35;9502;15;2;RODOVIA;;JOSE BONLFACIO COUTINHO NOGUEI;;JOAQUIM EGIDIO;13106001
35;9502;15;2;ESTRADA;;USINA SALTO GRANDE;;JOAQUIM EGIDIO;13010010
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;CHACARA AVEIROS;13101499
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;AVEIRO;13101499
35;9502;5;2;TRAVESSA;;DA ESTRADA MUNICIPAL DOS AVEI;;MATO DENTRO;13101499
35;9502;5;2;RUA;;PENEDOS;;JARDIM DAS ANDORINHAS;13101462
35;9502;5;2;RUA;;PENEDOS;;JARDIM ANDORINHAS;13101462
35;9502;5;2;RUA;;LITORAL;62.0;JARDIM DAS ANDORINHAS;13101432
35;9502;5;2;RUA;;LITORAL;119.0;JARDIM DAS ANDORINHAS;13101432
35;9502;5;2;ESTRADA;;ANTONIO INACIO PUPO;;CARLOS GOMES;13099102
35;9502;10;2;ESTRADA;;DA RHODIA;15.0;VILA HOLLANDIA;13085000
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;MATO DENTRO;13101499
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;JARDIM ANDORINHAS;13101499
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;CONDOMINIO AVEIROS;13101499
35;9502;5;2;LINHA;;DIVISA MUNICIPIO;;CAPUAVA;13274465
35;9502;5;2;RUA;;OSVALDO ANTONIO BUZONI;2450.0;CHACARA SAMAMBAIA;13274465
35;9502;5;2;RUA;PROFESSORA;ODEIA;;GRAMADO;13010000
35;9502;5;2;RUA;;JOSE CARMINO GIARDELLI;;FONTE MECIA;13010000
35;9502;10;2;ESTRADA;;DA RHODIA;;AREA RURAL DE BARAO GERALDO;13085905
35;9502;10;2;RUA;PADRE;ANTONIO VIEIRA;;GUARA;13010000
35;9502;5;2;AVENIDA;;PEDRO DEGRESSI JR;;FRIBURGO;13010000
35;9502;5;1;RUA;;AGUAPE;523.0;PARQUE UNIVERSITARIO DO VIRACOPOS;13056471
35;9502;5;1;RUA;;AMABILIO BETIM;;JARDIM ESTORIL;13046260
35;9502;5;1;RUA;;AMABILIO BETIM;;JARDIM ESTORIL;13046260
35;9502;5;1;RUA;;AMABILIO BETIM;;ESTORIL;13046260
35;9502;5;1;RUA;;AMABILIO BETIM;;ESTORIL;13046260
35;9502;5;1;RUA;NOSSA SENHORA;DAS DORES;1111.0;VILA PADRE ANCHIETA;13010000
35;9502;5;1;RUA;;MANOEL TOMAS;446.0;VILA LUNARDI;13010000
35;9502;5;1;RUA;DOUTOR;JOSE FERREIRA DE CAMARGO;1221.0;JARDIM PLANALTO;13092005
35;9502;5;1;RUA;;ALDO GRIGOL;705.0;GUARA;13085400
35;9502;5;1;RUA;PADRE;JOAO BOSCO PENIDO BURNIER;;ITAJAI 4;13058063
35;9502;5;1;RUA;;CELSO LOPES;500.0;ITAJAI 4;13040735
35;9502;5;1;RUA;;CELSO LOPES;;ITAJAI 4;13010000
35;9502;5;1;RUA;;LINCOL CLAUDINO GOMES JUNIOR;333.0;PARQUE FIGUEIRA;13040230
35;9502;5;2;ESTRADA;;DA SERVIDAO;;BAIRRO DO CAMPO GRANDE;13069131
35;9502;5;2;ESTRADA;;ESTRADA DO CAMPO GRAND;;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;ALAMEDA;;PARAISO;;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;ESTRADA;;JHON BOYD DUNLOP;;BAIRRO DO CAMPO GRANDE;13069131
35;9502;5;2;ESTRADA;;WERNER HABIG;550.0;CHACARAS LUZITANA;13010020
35;9502;5;2;ESTRADA;;WERNER HABIG;;BAIRRO DO CAMPO GRANDE;13010020
35;9502;5;2;ESTRADA;;JOHN BOYD DUNLOP;10.0;BAIRRO DO CAMPO GRANDE;13069131
35;9502;5;2;ESTRADA;;JOHN BOYD DUNLOP;10.0;BAIRRO DO CAMPO GRANDE;13069131
35;9502;5;2;ESTRADA;;JOHN BOYD DUNLOP;;BAIRRO DO CAMPO GRANDE;13069131
35;9502;5;2;ESTRADA;;JOHN BOYD DUNLOP;;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;ESTRADA;;DO CAMPO GRANDE;;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;ESTRADA;;DO CAMPO GRANDE;;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;ESTRADA;;DO CAMPO GRANDE;;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;ESTRADA;;DA SERVIDAO JANUARIO GUILHERME;799.0;BAIRRO TERRA PRETA;13190000
35;9502;5;2;ESTRADA;;CAMPINAS MONTE MOR;;CAMPO GRANDE;13067112
35;9502;5;2;ESTRADA;;CAMPINAS MONTE MOR;;CAMPO GRANDE;13067112
35;9502;5;2;RUA;;AUREA GONCALVES DAMASCENO;;CAMPO GRANDE;13010009
35;9502;5;2;SERVIDAO;;SEM DENOMINACAO;;CAMPO GRANDE;13058009
35;9502;5;2;SERVIDAO;;SEM DENOMINACAO;;CAMPO GRANDE;13058009
35;9502;5;2;RUA;;APOLONIO MOURA DE BRITO;;SAO JORGE;13064802
35;9502;10;2;AVENIDA;DOUTOR;EDUARDO PEREIRA DE ALMEIDA;1501.0;BOSQUE DE BARAO GERALDO;13082751
35;9502;10;2;AVENIDA;DOUTOR;EDUARDO PEREIRA DE ALMEIDA;100.0;PARQUE CEASA;13082751
35;9502;10;2;RUA;;ALMIDES CORREA DA SILVA;289.0;TERRA NOVA;13082693
35;9502;10;2;RUA;;ALMIDES CORREA DA SILVA;289.0;RESIDENCIAL TERRA NOVA;13082693
35;9502;10;2;RUA;;JOAO BAPTISTA DALMEDICO;25.0;PARQUE CEASA;13082660
35;9502;10;2;RUA;;MANACA DA SERRA;13.0;SOLAR CAMPINAS;13085691
35;9502;10;2;RUA;;LIRIO DO AMAZONAS;92.0;SOLAR CAMPINAS;13084030
35;9502;5;2;RUA;;SERVIDAO G;141.0;CHACARA RECREIO SANTA FE;13064874
35;9502;5;2;RUA;;SERVIDAO G;62.0;CHACARA RECREIO SANTA FE;13064874
35;9502;5;2;PROLONGAMENTO;;AVENIDA JOHN BOYD DUNLOP;;CAMPO GRANDE;13058009
35;9502;5;2;RUA;;D;200.0;BAIRRO DO CAMPO GRANDE;13010001
35;9502;5;2;ESTRADA;;DO SALTINHO;87.0;PARQUE JAMBEIRO;13010002
35;9502;5;2;LOTEAMENTO;;SALTINHO;;SALTINHO;13051502
35;9502;5;2;LOTEAMENTO;;SALTINHO;;SALTINHO;13051502
35;9502;5;2;LOTEAMENTO;;SALTINHO;2.0;SALTINHO;13051502
35;9502;5;2;LOTEAMENTO;;SALTINHO;;SALTINHO;13051502
35;9502;5;2;LOTEAMENTO;;SALTINHO;;SALTINHO;13051502
35;9502;5;2;RODOVIA;;ANHANGUERA;88.0;PARQUE JAMBEIRO;13010002
35;9502;5;2;RUA;;UM;;SALTINHO;13051502
35;9502;5;2;RUA;;PAULO AFONSO DE LIMA;2025.0;SALTINHO;13051502
35;9502;5;2;RUA;;PAULO AFONSO DE LIMA;;PARQUE CENTENARIO;13051502
35;9502;5;2;RODOVIA;;LUIZ QUEIROZ GUIMARAES;1.0;MACUCO;13051502
35;9502;5;2;RUA;;ANTONIO AFONSO DE LIMA;103.0;SALTINHO;13010010
35;9502;5;2;CAMINHO;;DA SERVIDAO I;;ESTRADA DO DESCAMPADO;13010000
35;9502;5;2;CAMINHO;;SERVIDAO;1.0;ESTRADA DO DESCAMPADO;13010001
35;9502;5;2;CAMINHO;;SERVIDAO;2.0;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;CAMINHO;;SERVIDAO;;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;DEZIDERIO BERNARDINETTI;;REFORMA AGRARIA;13010002
35;9502;5;2;ESTRADA;;DEZIDERIO BERNARDINETTI;;REFORMA AGRARIA;13010001
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010000
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;ESTRADA DO DESCANPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010001
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;ESTRADA DO DESCANPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;ESTRADA DO DESCANPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010001
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010001
35;9502;5;2;ESTRADA;;DO DESCAMPADO;;DESCAMPADO;13010009
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010001
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010200
35;9502;5;2;ESTRADA;;SANTOS DUMONT ATE REFORMA AGRARIA;;ESTRADA DO DESCAMPADO;13010002
35;9502;5;2;ESTRADA;;DO MACUCO;;BAIRRO DESCAMPADO;13010003
35;9502;5;2;ESTRADA;;DO MACUCO;;DESCAMPADO;13010009
35;9502;5;2;ESTRADA;;VELHA IDAIATUBA;;DESCAMPADO;13010009
35;9502;5;2;RUA;;JOSE ARNOLDO AMBIEL;;JARDIM SAO DOMINGOS;13010009
35;9502;5;2;RUA;DOUTOR;ADHEMAR BARROS KM 123 PONTE AL;;COLONIA TOZAN;13012100
35;9502;5;2;RUA;DOUTOR;ADHEMAR BARROS KM 123 PONTE AL;123.0;COLONIA TOZAN;13012100
35;9502;5;2;RUA;DOUTOR;PROF EMILIO COELHO;;COLONIA TOZAN;13100900
35;9502;5;2;RUA;DOUTOR;PROF EMILIO COELHO;;COLONIA TOZAN;13085702
35;9502;5;2;ESTRADA;;DA SERVIDAO;;BAIRRO HELVETIA;13052970
35;9502;5;2;ESTRADA;;MUNICIPAL CAMPINAS A INDAIATUB;;VISTA ALEGRE;13337315
35;9502;5;2;RUA;;DOS PINHEIROS;54.0;RECREIO CAMPESTRE DE VIRACOPOS 6;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;JARDIM SANTA MARIA;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;32.0;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;186.0;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;JARDIM SANTA MARIA;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;PARQUE DE VIRACOPOS;13010003
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;186.0;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;1305.0;JARDIM SANTA MARIA 2;13055609
35;9502;5;2;RODOVIA;;SANTOS DUMONT;;BAIRRO HALVETTI;13052970
35;9502;5;2;RODOVIA;;SANTOS DUMONT;;BAIRRO HELVETIA;13052970
35;9502;5;2;RODOVIA;;SANTOS DUMONT;63.0;JARDIM SANTA MARIA;13052970
35;9502;5;2;RUA;;A;250.0;BAIRRO HELVETIA;13052970
35;9502;5;2;RUA;;CAMINHO DA SERVIDAO;79.0;RECREIO CAMPESTRE DE VIRACOPOS 6;13055609
35;9502;5;2;ALAMEDA;;ANTONIO AMBIEL;6224.0;BAIRRO HELVETIA;13337315
35;9502;5;2;ALAMEDA;;ANTONIO AMBIEL;6224.0;BAIRRO HELVETIA;13337315
35;9502;5;2;CAMINHO;;SEM DENOMINACAO;;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;FAZENDA;;LAGOA FORMOSA;;CARLOS GOMES;13010000
35;9502;5;2;FAZENDA;;LAGOA FORMOSA;;CARLOS GOMES;13010000
35;9502;5;2;RUA;;AUGUSTO FERREIRA LARA;65.0;GARGANTILHA;13010000
35;9502;5;2;RUA;;REPUBLICA DA ARMENIA;2474.0;GARGANTILHA;13098000
35;9502;5;2;ESTRADA;;DO SERVIDAO;;CARLOS GOMES;13099103
35;9502;5;2;ESTRADA;;DO SERVIDAO;;CARLOS GOMES;13099103
35;9502;5;2;ESTRADA;;SEM DENOMINACAO;;GARGANTILHA;13099103
35;9502;5;2;ESTRADA;;TANQUINHO;;CARLOS GOMES;13099103
35;9502;5;2;RUA;;ANTONIO IGNACIO PUPO;1500.0;JARDIM MONTE BELO;13099103
35;9502;5;2;RODOVIA;DOUTOR;ADHEMAR DE BARROS;118.0;ANHUMAS;13092620
35;9502;10;2;RODOVIA;;ZEFERINO VAZ;114.0;MATA SANTA GENBRA;13010000
35;9502;10;2;RODOVIA;DOM;PEDRO 1;138.0;JARDIM SANTA GENEBRA;13080010
35;9502;10;2;AVENIDA;;GUILHERME CAMPOS;;JARDIM SANTA GENEBRA;13086090
35;9502;5;2;ESTRADA;;DO FOGUETEIRO;;JARDIM CALIFORNIA;13052970
35;9502;5;2;RUA;;JOAO BERTAZZOLI FILHO;32.0;JARDIM NOVO ITAGUACU;13055512
35;9502;5;2;RUA;;RUBENS CONTADOR;;JARDIM NOVO ITAGUACU;13055508
35;9502;15;2;ESTRADA;;CAM 123;;JOQUIM EGIDIO;13010003
35;9502;15;2;ESTRADA;;DA USINA SALTO GRANDE;;JOAQUIM EGIDIO;13010002
35;9502;15;2;ESTRADA;;DA USINA SALTO GRANDE;;JOAQUIM EGIDIO;13010002
35;9502;15;2;RODOVIA;;JOSE BONLFACIO COUTINHO NOGUEI;;S0USAS;13108273
35;9502;15;2;RUA;;GOMES BALSAS;999.0;JOAQUIM EGIDIO;13108049
35;9502;15;2;RUA;;GOMES BALSAS;999.0;JOAQUIM EGIDIO;13108049
35;9502;15;2;RUA;DONA;ISABEL FRAGOSO FERRAO;700.0;JOAQUIM EGIDIO;13108049
35;9502;15;2;RODOVIA;DOM;PEDRO I KM 118;;BAIRRO DOS LOPES;13010903
35;9502;25;2;RUA;;LUIZ CORAZOLLA;;JARDIM CONCEICAO;13010000
35;9502;25;2;ESTRADA;;SOUSAS PEDREIRA;;SOUSAS;13010000
35;9502;25;2;ESTRADA;;SOUSAS PEDREIRA;;CAMPINAS RURAL;13010000
35;9502;25;2;ESTRADA;DOUTOR;LACERDA;;SOUSAS;13010000
35;9502;25;2;ESTRADA;DOUTOR;LACERDA;;SOUSAS;13010071
35;9502;5;2;AVENIDA;;LIX DA CUNHA;;CIDADE DOS MENINOS;13010002
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;TAPERA;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;ITAPERA;13040735
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;ITAPERA;13040735
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;5.0;ANTONIO VON ZUBEN;13044503
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;ANTONIO VON ZUBEN;13044503
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;ESTRADA;;ESTRADA MUNICIPAL DO CAMPO GRA;27.0;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;PROLONGAMENTO;;DA RUA OITO DA CRUZEIRO;;JARDIM SANTA ROSA;13058009
35;9502;5;2;ESTRADA;;DO CAMPO GRANDE;2000.0;CAMPO GRANDE;13010010
35;9502;5;2;ESTRADA;;SERVIDAO G;53.0;NUCLEO SANTA ISABEL;13185000
35;9502;5;2;ESTRADA;;SERVIDAO G;;NUCLEO SANTA ISABEL;13185000
35;9502;5;2;ESTRADA;;ANHUMAS;;BAIRRO ANHUMAS;13010001
35;9502;5;2;ESTRADA;;PARA FAZENDA SAO VICENTE;;PESQUEIRO SAO FRANCISCO;13105000
35;9502;5;2;ESTRADA;;SAO VICENTE;;PARQUE ANHUMAS;13098319
35;9502;5;2;ESTRADA;;SAO VICENTE;;PARQUE ANHUMAS;13098319
35;9502;5;2;ESTRADA;;SAO VICENTE;;PARQUE ANHUMAS;13098319
35;9502;5;2;RODOVIA;;SP340;;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13010000
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13010000
35;9502;5;2;RODOVIA;;SP340;116.0;BAIRRO ANHUMAS;13098031
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
